# Experimental Run Fri Oct 19 14:16:52 CEST 2018
Best Score,Run Time Milliseconds,Total Evaluations
"13477.0","4939","1058"
"13270.0","4760","1055"
"13748.0","7909","1799"
"13626.0","11500","2594"
"13780.0","8650","1949"
"13730.0","5656","1259"
"12975.0","9628","2108"
"13416.0","12860","2853"
"14054.0","8780","2006"
"13265.0","12105","2737"
"14147.0","8564","1979"
"13783.0","7770","1796"
"13433.0","7985","1740"
"13275.0","5640","1253"
"13902.0","7108","1567"
"12836.0","9744","2212"
"13322.0","7245","1634"
"13554.0","8817","1995"
"14088.0","6163","1318"
"13526.0","6623","1479"
"14033.0","5319","1107"
"13801.0","5085","1169"
"13531.0","5435","1281"
"13206.0","5861","1318"
"13516.0","4586","1011"
"13781.0","7594","1697"
"13825.0","12144","2847"
"13657.0","8924","2031"
"13987.0","9941","2218"
"13439.0","10164","2344"
