# Experimental Run Fri Oct 19 14:16:52 CEST 2018
Best Score,Run Time Milliseconds,Total Evaluations
"2549.0","34","5902"
"2681.0","15","2585"
"2595.0","10","1817"
"2496.0","33","5927"
"2642.0","20","3625"
"2504.0","27","4877"
"2583.0","33","6151"
"2663.0","24","4627"
"2437.0","51","9750"
"2638.0","15","2339"
"2509.0","40","7347"
"2495.0","32","5898"
"2535.0","34","5450"
"2471.0","31","5947"
"2672.0","20","3867"
"2596.0","25","4880"
"2791.0","12","2083"
"2568.0","28","5138"
"2767.0","10","1894"
"2665.0","16","2585"
"2582.0","22","4132"
"2512.0","31","5518"
"2499.0","29","5700"
"2627.0","17","3361"
"2527.0","20","3858"
"2644.0","19","3355"
"2472.0","22","4118"
"2717.0","10","1821"
"2784.0","7","1314"
"2637.0","17","3346"
