# Experimental Run Fri Oct 19 14:20:25 CEST 2018
Best Score,Run Time Milliseconds,Total Evaluations
"614.0","935","1936"
"693.0","616","1259"
"658.0","1040","2048"
"639.0","778","1626"
"429.0","2947","6236"
"667.0","742","1589"
"642.0","604","1208"
"653.0","988","2015"
"631.0","883","1815"
"430.0","2463","5211"
"627.0","938","1941"
"651.0","598","1244"
"646.0","744","1503"
"440.0","2344","4915"
"446.0","2384","5038"
"642.0","561","1174"
"683.0","844","1725"
"435.0","2331","4914"
"640.0","510","1048"
"650.0","604","1267"
"437.0","2407","5131"
"434.0","3534","7403"
"663.0","686","1448"
"679.0","598","1273"
"645.0","835","1710"
"650.0","1025","2189"
"636.0","850","1755"
"645.0","556","1131"
"652.0","603","1272"
"665.0","776","1688"
