# Experimental Run Fri Oct 19 14:19:50 CEST 2018
Best Score,Run Time Milliseconds,Total Evaluations
"1073.0","17","5650"
"1091.0","11","4123"
"1023.0","23","8203"
"1080.0","12","4627"
"1006.0","24","8487"
"1120.0","9","3352"
"1046.0","21","7258"
"1014.0","20","7177"
"1031.0","16","5389"
"1059.0","13","4643"
"1112.0","12","4111"
"1100.0","14","4905"
"1073.0","18","5642"
"1072.0","16","5805"
"1050.0","18","6706"
"1179.0","9","2883"
"973.0","16","5899"
"1198.0","5","1821"
"1100.0","11","4120"
"1095.0","12","4115"
"987.0","26","9576"
"1069.0","18","6686"
"1049.0","15","5157"
"1019.0","14","4878"
"1067.0","13","4889"
"1045.0","15","5646"
"1128.0","11","3867"
"1177.0","7","2326"
"1064.0","19","7286"
"1075.0","19","6163"
