# Experimental Run Fri Oct 19 14:10:07 CEST 2018
Best Score,Run Time Milliseconds,Total Evaluations
"36337.0","38","5150"
"36607.0","27","3123"
"35147.0","41","5897"
"36200.0","36","4925"
"37806.0","21","3104"
"36369.0","27","3937"
"37069.0","23","3168"
"37134.0","23","3135"
"36591.0","29","4112"
"38868.0","15","2078"
"35228.0","36","5153"
"36319.0","21","3092"
"37787.0","15","1939"
"36813.0","23","3346"
"36317.0","21","3092"
"37620.0","17","2332"
"36725.0","35","4821"
"36190.0","36","4926"
"35859.0","23","3354"
"37020.0","22","3127"
"37568.0","18","2852"
"37643.0","19","2839"
"36319.0","30","4623"
"36864.0","21","3127"
"37947.0","12","1821"
"35549.0","53","8199"
"37231.0","30","4393"
"38517.0","12","1832"
"37294.0","20","3093"
"36039.0","37","5651"
