# Experimental Run Fri Oct 19 14:19:49 CEST 2018
Best Score,Run Time Milliseconds,Total Evaluations
"1151.0","3660","1890"
"1178.0","2998","1591"
"710.0","9078","4739"
"655.0","16715","8773"
"1105.0","3491","1759"
"671.0","15097","7539"
"1125.0","2807","1413"
"1165.0","2100","1073"
"1098.0","2079","1082"
"651.0","14291","7423"
"1170.0","2451","1289"
"1154.0","3554","1864"
"1191.0","3906","2097"
"1156.0","2439","1240"
"1172.0","3053","1559"
"1203.0","2049","1087"
"652.0","16022","8408"
"1161.0","3666","1811"
"1123.0","2671","1233"
"1109.0","2167","1042"
"639.0","17314","8729"
"1162.0","3120","1565"
"1116.0","3766","1913"
"670.0","20361","10419"
"1181.0","2675","1372"
"1116.0","3783","1839"
"1160.0","3247","1642"
"1174.0","2637","1324"
"1181.0","2079","1016"
"1143.0","3698","1858"
