# Experimental Run Fri Oct 19 14:10:07 CEST 2018
Best Score,Run Time Milliseconds,Total Evaluations
"10724.0","1441","2813"
"10523.0","894","1704"
"10585.0","1536","3031"
"10655.0","841","1674"
"10995.0","644","1266"
"7657.0","2884","5734"
"10972.0","611","1114"
"10516.0","1143","2266"
"11032.0","655","1212"
"10588.0","902","1777"
"11061.0","549","1067"
"10778.0","743","1482"
"10655.0","1045","2042"
"10812.0","1148","2203"
"10033.0","845","1650"
"10437.0","1094","2158"
"10934.0","547","1012"
"10645.0","948","1847"
"10689.0","541","1049"
"10905.0","795","1586"
"10731.0","804","1553"
"10340.0","557","1019"
"10764.0","863","1605"
"10366.0","758","1306"
"10208.0","710","1308"
"10492.0","1146","2264"
"10848.0","939","1805"
"10580.0","1409","2759"
"10772.0","629","1182"
"10296.0","1533","2849"
