# Experimental Run Fri Oct 19 14:20:26 CEST 2018
Best Score,Run Time Milliseconds,Total Evaluations
"1827.0","15","3864"
"1896.0","11","2841"
"1776.0","18","4876"
"1801.0","27","7242"
"1989.0","8","2074"
"1925.0","8","1817"
"1792.0","19","5400"
"1835.0","12","3349"
"1718.0","25","6661"
"1888.0","12","2846"
"1906.0","12","3349"
"1790.0","20","5131"
"1745.0","16","4283"
"1906.0","9","2340"
"1818.0","16","4621"
"1724.0","25","5900"
"1759.0","21","5133"
"1739.0","33","7940"
"1924.0","12","2584"
"1766.0","20","4632"
"1763.0","26","6661"
"1892.0","12","2839"
"1825.0","20","4721"
"1807.0","21","4910"
"1709.0","27","6679"
"1936.0","11","2338"
"1896.0","11","2840"
"1803.0","22","6168"
"1892.0","12","2836"
"1812.0","18","4624"
