# Experimental Run Fri Oct 19 14:23:14 CEST 2018
Best Score,Run Time Milliseconds,Total Evaluations
"38339.0","2707","1428"
"38044.0","2524","1360"
"36752.0","5082","2756"
"38905.0","2907","1588"
"38239.0","3071","1607"
"38685.0","2204","1135"
"36774.0","2353","1253"
"37506.0","3245","1748"
"35041.0","2556","1338"
"38372.0","4421","2377"
"37140.0","3797","2097"
"37030.0","3640","1953"
"36441.0","3249","1779"
"37397.0","2703","1481"
"38079.0","2013","1016"
"38174.0","3308","1706"
"36788.0","2655","1309"
"39235.0","1996","1092"
"39781.0","3874","2023"
"37225.0","2420","1210"
"38469.0","4188","2268"
"37850.0","2527","1305"
"36835.0","2169","1159"
"37629.0","4651","2468"
"36671.0","3808","2065"
"37872.0","2000","1072"
"39426.0","2197","1198"
"37546.0","1997","1052"
"37040.0","2712","1489"
"39497.0","2892","1597"
