# Experimental Run Fri Oct 19 14:12:54 CEST 2018
Best Score,Run Time Milliseconds,Total Evaluations
"44215.0","25","2867"
"42974.0","35","4367"
"44481.0","23","2837"
"43361.0","28","3602"
"43131.0","25","3102"
"42250.0","40","5138"
"44678.0","17","1964"
"43636.0","32","3922"
"44559.0","25","3091"
"42947.0","34","4117"
"43667.0","29","3650"
"42312.0","35","4498"
"45830.0","19","2092"
"43630.0","30","3748"
"42779.0","41","5313"
"44030.0","21","2329"
"41997.0","31","3887"
"44177.0","24","2952"
"44145.0","22","2591"
"44638.0","22","2849"
"43738.0","21","2670"
"42439.0","36","4622"
"42632.0","56","6406"
"43387.0","17","2075"
"42469.0","44","6021"
"43611.0","35","3865"
"43545.0","27","3400"
"45962.0","12","1562"
"41400.0","64","8215"
"43263.0","20","2583"
