# Experimental Run Fri Oct 19 14:01:39 CEST 2018
Best Score,Run Time Milliseconds,Total Evaluations
"29459.0","100","2336"
"28928.0","73","3889"
"28242.0","65","3603"
"29332.0","36","2087"
"28870.0","46","2844"
"29175.0","44","2351"
"29390.0","44","2090"
"28447.0","54","3137"
"28284.0","79","4894"
"28274.0","70","4372"
"29752.0","27","1817"
"28150.0","98","5142"
"28380.0","94","5411"
"29129.0","36","2330"
"29157.0","43","2590"
"27404.0","87","5481"
"29142.0","39","2351"
"28489.0","88","5441"
"28908.0","50","3094"
"29094.0","43","2673"
"28199.0","75","4878"
"28757.0","71","4400"
"28840.0","75","4876"
"28961.0","60","3645"
"28910.0","37","2328"
"27826.0","77","4900"
"29372.0","30","1818"
"28561.0","61","3866"
"28887.0","51","3169"
"28632.0","59","3872"
