# Experimental Run Fri Oct 19 14:21:44 CEST 2018
Best Score,Run Time Milliseconds,Total Evaluations
"938.0","2194","2081"
"918.0","2127","1992"
"888.0","1666","1587"
"933.0","1944","1756"
"558.0","8333","7714"
"897.0","1576","1448"
"911.0","1510","1391"
"929.0","1259","1200"
"925.0","2144","1984"
"922.0","1371","1208"
"893.0","1941","1710"
"881.0","1624","1431"
"886.0","2085","1836"
"930.0","1263","1171"
"906.0","1678","1544"
"921.0","1370","1296"
"915.0","1471","1353"
"936.0","1701","1582"
"946.0","1484","1350"
"949.0","1682","1598"
"560.0","7209","6752"
"931.0","2159","1912"
"545.0","7009","6386"
"946.0","1170","1022"
"870.0","1162","1011"
"954.0","2311","2131"
"915.0","1999","1837"
"558.0","7137","6638"
"964.0","1159","1072"
"547.0","6055","5781"
