# Experimental Run Fri Oct 19 14:21:44 CEST 2018
Best Score,Run Time Milliseconds,Total Evaluations
"123650.0","24","4644"
"119647.0","31","6153"
"119727.0","28","5388"
"116469.0","29","5389"
"128931.0","15","2841"
"127812.0","13","2584"
"121363.0","30","5641"
"130590.0","9","1640"
"123419.0","27","4879"
"117430.0","31","5907"
"124857.0","23","4461"
"129743.0","14","2584"
"121732.0","22","4139"
"118355.0","28","5389"
"125588.0","19","3611"
"123097.0","21","4111"
"133210.0","8","1469"
"129588.0","8","1354"
"121643.0","27","5139"
"121603.0","24","4488"
"128229.0","16","2842"
"133552.0","10","1833"
"115801.0","28","5645"
"120493.0","21","4112"
"118485.0","24","4627"
"126063.0","18","3605"
"119807.0","24","4883"
"115960.0","45","8962"
"132488.0","10","1821"
"120707.0","21","4136"
